Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Swaziland,SWZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.85,8.94,11.04,18.13,20.781782577294397,24.7,26.17500573,25.64304231,28.573522782768503
Swaziland,SWZ,Population density (people per sq. km of land area),EN.POP.DNST,67.3777325581395,68.6438953488372,69.93273255813949,71.2359302325581,72.56732558139541,73.9218604651163,75.29633720930231,76.6866860465116,78.08709302325579
Sweden,SWE,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.0,91.0,90.0,92.76998605540459,93.1799880065108,94.7836,92.52,90.6102,89.6509476102355
Sweden,SWE,Population density (people per sq. km of land area),EN.POP.DNST,22.4682872739679,22.6605132329288,22.854525515426197,23.027764780426,23.3696027888251,23.5684661462169,23.8052343423928,24.058299575262104,24.3624880312293
Switzerland,CHE,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.2,81.3,83.9,85.19302818048541,85.2,86.34,87.4,87.47905559786751,89.1346877351392
Switzerland,CHE,Population density (people per sq. km of land area),EN.POP.DNST,193.53363194655302,195.966975402369,198.01875189796502,200.23276647433997,202.370204474137,204.71064885109797,207.223630934305,209.596011742079,211.874000404899
Syrian Arab Republic,SYR,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.0,17.3,20.7,22.5,24.3001,26.2,28.09,29.979797235769,31.869627268866
Syrian Arab Republic,SYR,Population density (people per sq. km of land area),EN.POP.DNST,110.680913744282,113.40063711609699,114.46296356804399,113.619740783096,111.20569079126498,107.87529815389601,104.574906061101,102.025741981158,100.36733104612499
Tajikistan,TJK,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.78,10.07,11.55,13.03,14.51,16.0,17.49,18.980000000495,20.470000000055002
Tajikistan,TJK,Population density (people per sq. km of land area),EN.POP.DNST,52.227264932838004,53.39253358102321,54.5986710488711,55.844162617890795,57.123906830523005,58.4296156044584,60.256401942559,61.595917455651104,62.9382718718026
Tanzania,TZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.9,2.4,2.9,3.2,3.95,4.4,7.0,10.0,13.0
Tanzania,TZA,Population density (people per sq. km of land area),EN.POP.DNST,48.848661097313204,50.4224779860014,52.0417599909686,53.7038857529916,55.41092458794311,57.1648171144728,58.96914540528339,60.8263230977647,62.7367362835855
Thailand,THA,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.2,20.1,22.4,23.669925618730996,26.46,28.94,34.89,39.316126736500394,47.5049656215909
Thailand,THA,Population density (people per sq. km of land area),EN.POP.DNST,130.254575348901,130.912460607959,131.552404627219,132.181350192801,132.795668343479,133.381089862788,133.916835326587,134.388224471021,134.791274051166
Timor-Leste,TLS,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.5,2.0,3.0,4.0,7.0,11.0,17.5,23.0,25.24624959
Timor-Leste,TLS,Population density (people per sq. km of land area),EN.POP.DNST,72.502353732347,73.437861466039,74.61943510423671,76.0943510423672,77.7915265635508,79.6480161398789,81.5611297915266,83.45507733692,85.3174848688635
Togo,TGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.4,2.6,3.0,3.5,4.0,4.5,5.7,7.12,11.31
Togo,TGO,Population density (people per sq. km of land area),EN.POP.DNST,113.28913403199101,116.39036587608,119.561537047251,122.80349328920799,126.116602316602,129.489759146902,132.908898694613,136.363338849053,139.84875896304501
Tonga,TON,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.11076994380395,10.0,16.0,25.0,30.0,32.75396061,35.95444145,38.65127243,39.95
Tonga,TON,Population density (people per sq. km of land area),EN.POP.DNST,143.0625,143.89444444444402,144.634722222222,145.245833333333,145.765277777778,146.288888888889,146.919444444444,147.727777777778,148.780555555556
Trinidad and Tobago,TTO,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.8,44.3,48.5,55.2,59.5162,63.8,65.1,69.198470608693,73.296941218486
Trinidad and Tobago,TTO,Population density (people per sq. km of land area),EN.POP.DNST,256.40779727095503,257.625341130604,258.888888888889,260.19259259259303,261.518128654971,262.816374269006,264.033723196881,265.12514619883,266.074463937622
Tunisia,TUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,27.53,34.07,36.8,39.1,41.4416,43.8,46.16,46.5,49.6
Tunisia,TUN,Population density (people per sq. km of land area),EN.POP.DNST,66.9885169927909,67.7255020597322,68.4856526776519,69.2679389804325,70.073815653965,70.8970005149331,71.7295829042225,72.56475926879509,73.39886714727079
Turkey,TUR,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.37,36.4,39.82,43.065710430924995,45.13,46.25,51.04,53.7449791423583,58.3477340145685
Turkey,TUR,Population density (people per sq. km of land area),EN.POP.DNST,91.5245403635513,92.6928329197147,93.9762145446513,95.38278783311459,96.8905409092681,98.472425711056,100.08787079505699,101.700131231891,103.312534594545
Turkmenistan,TKM,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.75,1.95,3.0,5.0,7.1958,9.6,12.2,14.996774820447,17.990324461341
Turkmenistan,TKM,Population density (people per sq. km of land area),EN.POP.DNST,10.503185580831198,10.6567999489286,10.825463366884401,11.010280254505998,11.2098376353925,11.4193113868023,11.632032430362,11.8427936075586,12.049760602642902
Turks and Caicos Islands,TCA,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,
Turks and Caicos Islands,TCA,Population density (people per sq. km of land area),EN.POP.DNST,31.032631578947395,31.8368421052632,32.6252631578947,33.4010526315789,34.1378947368421,34.8505263157895,35.5147368421053,36.146315789473704,36.73684210526321
Tuvalu,TUV,Individuals using the Internet (% of population),IT.NET.USER.ZS,15.0,20.0,25.0,30.0,35.0,37.0,39.2,42.7,46.009151511057794
Tuvalu,TUV,Population density (people per sq. km of land area),EN.POP.DNST,344.666666666667,348.03333333333296,351.03333333333296,354.26666666666705,357.5,360.633333333333,363.6,366.7,369.9
Uganda,UGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.9,9.78,12.5,13.01354333,14.1,15.5,16.9,17.83485947,21.87617046
Uganda,UGA,Population density (people per sq. km of land area),EN.POP.DNST,158.470026525199,164.015289525049,169.135911629763,175.01320566527,181.063215639338,187.281697586276,193.663165769001,200.20382006782398,206.90188011171003
Ukraine,UKR,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.0,17.9,23.3,28.708262840071303,35.27,40.954128997,46.2359754571651,48.88464368132179,52.4818082890465
Ukraine,UKR,Population density (people per sq. km of land area),EN.POP.DNST,79.8491334668232,79.495442933094,79.18024580542699,78.896119588483,78.7014085479528,78.52240557895459,78.15074832985209,77.9477304820072,77.6893179581902
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.0,64.0,68.0,78.0,84.99999150494921,88.0,90.4,90.5,90.6000073180483
United Arab Emirates,ARE,Population density (people per sq. km of land area),EN.POP.DNST,82.4674401913876,91.7032655502392,98.9316267942584,103.73773923445,106.46474880382799,107.730418660287,108.50319377990401,109.50122009569401,110.880526315789
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.39,83.56,85.0,85.3799985496322,87.4799984242111,89.8441,91.61,92.0003,94.7758006318882
United Kingdom,GBR,Population density (people per sq. km of land area),EN.POP.DNST,255.47470342661097,257.414417393461,259.440189310958,261.47612119208,263.30054147894,265.06934237176,267.073781672385,269.205394122267,271.134481048237
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.0,71.0,71.69,69.72946076192679,74.7,71.4,73.0,74.5542024462761,76.17673698284099
United States,USA,Population density (people per sq. km of land area),EN.POP.DNST,33.2436868537795,33.5363992251367,33.818081273189605,34.071176134910196,34.3264416633324,34.567660389486896,34.8254978999543,35.0805602016744,35.324442629725105
Upper middle income,UMC,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.4890802003397,28.5013437437997,33.8783960507959,38.1476504364461,42.803312989668896,46.1818384881529,49.0182851273182,52.559908745994704,55.6121745664281
Upper middle income,UMC,Population density (people per sq. km of land area),EN.POP.DNST,41.750313681763394,42.061241565216896,42.3698876256874,42.6837283037381,43.011769098234,43.3474138234793,43.68356635447601,44.0141806876517,44.3461166605089
Uruguay,URY,Individuals using the Internet (% of population),IT.NET.USER.ZS,39.3,41.8,46.4,51.4046610563616,54.453768680746,57.69,61.46,64.6,66.4
Uruguay,URY,Population density (people per sq. km of land area),EN.POP.DNST,19.1453776711233,19.2135470231974,19.2801679808022,19.3442120900469,19.407936235858802,19.4720889041252,19.5380299394355,19.606627813964103,19.6777853959547
Uzbekistan,UZB,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.0801145234501,11.9,15.9,18.6,23.6,26.8,35.5,42.8,46.7912869407806
Uzbekistan,UZB,Population density (people per sq. km of land area),EN.POP.DNST,64.1814762576399,65.2736248236953,67.1424541607898,68.9689703808181,69.99177244945929,71.09355900329099,72.3030089327692,73.575223319229,74.8657733897508
Vanuatu,VUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.2691199233749195,7.5,8.0,9.2,10.597999999999999,11.3,18.8,22.351404582536002,24.0
Vanuatu,VUT,Population density (people per sq. km of land area),EN.POP.DNST,18.4856439704676,18.9323215750615,19.3843314191961,19.8417555373257,20.302296964725198,20.7663658736669,21.234618539786698,21.706562756357698,22.1822805578343
"Venezuela, RB",VEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.88,32.7,37.37,40.22,49.0500830729861,54.9,57.0,61.869248094278,60.0
"Venezuela, RB",VEN,Population density (people per sq. km of land area),EN.POP.DNST,31.9048818094212,32.4100935321127,32.9097364095006,33.4031982313928,33.8904597245054,34.3720287965535,34.8487931523156,35.3212788390681,35.7895572813333
Vietnam,VNM,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.92,26.55,30.65,35.07,36.8,38.5,41.0,43.5,46.5
Vietnam,VNM,Population density (people per sq. km of land area),EN.POP.DNST,279.639439481407,282.40528590318297,285.330770471184,288.440171574161,291.714390298965,295.087318992486,298.464588641275,301.775621633825,304.992653271842
Virgin Islands (U.S.),VIR,Individuals using the Internet (% of population),IT.NET.USER.ZS,27.3617774210613,27.3965096846662,31.22,35.6,40.5479,45.3,50.07,54.839137296000004,59.60831579895
Virgin Islands (U.S.),VIR,Population density (people per sq. km of land area),EN.POP.DNST,309.711428571429,309.728571428571,309.594285714286,309.405714285714,309.117142857143,308.697142857143,308.24,307.742857142857,307.171428571429
West Bank and Gaza,PSE,Individuals using the Internet (% of population),IT.NET.USER.ZS,24.358,32.23,37.4,41.08,43.4,46.6,53.67,57.42419241388001,61.17838482745999
West Bank and Gaza,PSE,Population density (people per sq. km of land area),EN.POP.DNST,597.456478405316,614.9863787375409,633.07342192691,652.334053156146,672.2426910299,692.608970099668,713.402325581395,734.575249169435,756.074086378738
World,WLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.950560710381197,25.3563448209692,28.7336041746693,31.1254774817469,34.19432427431,36.72604949142921,39.7921478262666,43.0795576699971,45.784502792674
World,WLD,Population density (people per sq. km of land area),EN.POP.DNST,52.1533085346575,52.795806152272206,53.4370011494995,54.0697014050062,54.7229683083247,55.3830139213411,56.047679765998495,56.711671842061605,57.3795203807576
"Yemen, Rep.",YEM,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.89,9.96,12.35,14.905,17.4465,20.0,22.55,24.08540947,24.579208363621103
"Yemen, Rep.",YEM,Population density (people per sq. km of land area),EN.POP.DNST,42.344055533458295,43.5155955830824,44.7123491865068,45.934818266189396,47.1806523097903,48.4427562172093,49.7117771843097,50.9805613955338,52.2457961626608
Zambia,ZMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.55,6.31,10.0,11.5,13.4682,15.4,19.0,21.0,25.5065788475702
Zambia,ZMB,Population density (people per sq. km of land area),EN.POP.DNST,17.5984570682952,18.101423209889802,18.6309110964635,19.188791885820397,19.7741925503437,20.3839303730209,21.013161328508602,21.658331427649003,22.3185541909361
Zimbabwe,ZWE,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.5,4.0,6.4,8.4,12.0,15.5,16.3647399572904,22.7428181020497,23.11998904
Zimbabwe,ZWE,Population density (people per sq. km of land area),EN.POP.DNST,35.0483882641851,35.700139588988,36.4128654517255,37.189218043169205,38.027209512731,38.915615871784894,39.8388910430399,40.7844151479902,41.7483830942226
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,41.696999999999996,40.474000000000004,39.232,38.016,36.863,35.797,34.836,33.98,33.214
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.243,60.754,61.226000000000006,61.666000000000004,62.086000000000006,62.494,62.895,63.288000000000004,63.673
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.933,11.837,11.819,11.845999999999998,11.888,11.915999999999999,11.914000000000001,11.879000000000001,11.815999999999999
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,24.5,,,,22.9,,,,
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.943,76.281,76.652,77.031,77.389,77.702,77.96300000000001,78.17399999999999,78.345
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.425,24.189,24.761999999999997,25.078000000000003,25.134,24.945,24.522,23.9,23.131999999999998
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,,,,22.9,,,,,
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.032,74.374,74.676,74.944,75.187,75.418,75.641,75.86,76.078
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,,,18.7,,,,17.5,,
American Samoa,ASM,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,
Andorra,AND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.4,9.9,9.8,,9.5,,,,8.8
Andorra,AND,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,46.458999999999996,45.91,45.31399999999999,44.688,44.058,43.446000000000005,42.864,42.321000000000005,41.818999999999996
Angola,AGO,Income share held by highest 10%,SI.DST.10TH.10,32.3,,,,,,,,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.18899999999999,57.231,58.192,59.042,59.77,60.373000000000005,60.858000000000004,61.24100000000001,61.547
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.906,17.586,17.308,17.070999999999998,16.867,16.684,16.519000000000002,16.367,16.225
Antigua and Barbuda,ATG,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.078,75.247,75.41199999999999,75.574,75.733,75.892,76.05,76.207,76.36399999999999
Arab World,ARB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,27.4866391392019,27.5357050946351,27.564317474114798,27.5321562195997,27.4125830401334,27.190501902957898,26.8605049096711,26.431199776879502,25.927766355567698
Arab World,ARB,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.64697028144879,69.8514338976754,70.04105434661679,70.2238942443028,70.4080156937081,70.59829815966219,70.79395746979999,70.99454147250891,71.198456370659
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.417,18.285,18.154,18.019000000000002,17.875,17.717,17.547,17.364,17.172
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,31.6,31.1,31.0,30.6,29.4,29.3,29.5,,30.9
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.268,75.431,75.595,75.76100000000001,75.926,76.089,76.252,76.415,76.577
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.026,15.099,15.065,14.927999999999999,14.713,14.446,14.140999999999998,13.808,13.456
Armenia,ARM,Income share held by highest 10%,SI.DST.10TH.10,23.7,22.9,25.0,24.0,24.5,24.7,25.7,26.7,25.3
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.946,73.119,73.331,73.571,73.814,74.044,74.255,74.445,74.618
Aruba,ABW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.589,11.407,11.26,11.147,11.065,11.008,10.975,10.963,10.974
Aruba,ABW,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.725,74.872,75.016,75.158,75.29899999999999,75.44,75.582,75.725,75.867
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.0,13.9,13.7,13.6,13.7,13.3,13.2,12.8,12.5
Australia,AUS,Income share held by highest 10%,SI.DST.10TH.10,27.4,,26.5,,,,,,
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.39512195121951,81.54390243902441,81.6951219512195,81.89512195121951,82.04634146341459,82.14878048780491,82.3,82.4,82.5
Austria,AUT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.3,9.2,9.4,9.3,9.4,9.4,9.6,9.8,10.0
Austria,AUT,Income share held by highest 10%,SI.DST.10TH.10,24.1,24.7,23.5,23.7,23.4,24.2,24.0,23.8,
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.4317073170732,80.3317073170732,80.58048780487809,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.19024390243901,80.890243902439
Azerbaijan,AZE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.4,17.0,18.3,19.2,18.8,18.3,17.9,17.2,16.3
Azerbaijan,AZE,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.238,70.646,70.987,71.26,71.47800000000001,71.656,71.8,71.921,72.02600000000001
"Bahamas, The",BHS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.499,15.445,15.323,15.145,14.947000000000001,14.757,14.581,14.42,14.270999999999999
"Bahamas, The",BHS,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.41,74.59100000000001,74.76100000000001,74.923,75.079,75.23,75.37899999999999,75.527,75.675
Bahrain,BHR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.236,16.86,16.544,16.268,16.003,15.729000000000001,15.433,15.110999999999999,14.762
Bahrain,BHR,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.77,75.913,76.056,76.199,76.34100000000001,76.482,76.622,76.76100000000001,76.9
Bangladesh,BGD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,22.261999999999997,21.717,21.224,20.78,20.375,19.997,19.637,19.29,18.95
Bangladesh,BGD,Income share held by highest 10%,SI.DST.10TH.10,,,26.9,,,,,,26.8
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.312,69.759,70.19800000000001,70.626,71.039,71.431,71.803,72.155,72.48899999999999
Barbados,BRB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.671,12.577,12.48,12.38,12.280999999999999,12.183,12.088,11.995,11.905
Barbados,BRB,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.648,74.811,74.973,75.133,75.292,75.44800000000001,75.60300000000001,75.755,75.906
Belarus,BLR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.3,11.5,11.4,11.5,12.2,12.5,12.5,12.5,12.4
Belarus,BLR,Income share held by highest 10%,SI.DST.10TH.10,22.3,22.6,22.9,21.9,21.8,22.1,22.6,22.2,22.9
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.45609756097559,70.4073170731707,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.9,11.8,11.9,11.6,11.5,11.2,11.2,10.8,10.8
Belgium,BEL,Income share held by highest 10%,SI.DST.10TH.10,22.7,22.7,22.7,22.3,21.9,21.8,22.4,22.2,
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.6804878048781,80.0341463414634,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,80.9926829268293
Belize,BLZ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,24.421999999999997,23.985,23.66,23.428,23.248,23.086,22.921,22.739,22.534000000000002
Belize,BLZ,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.517,69.611,69.676,69.73100000000001,69.798,69.895,70.027,70.192,70.384
Benin,BEN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,39.884,39.59,39.278,38.945,38.591,38.218,37.83,37.431,37.025999999999996
Benin,BEN,Income share held by highest 10%,SI.DST.10TH.10,,,,34.5,,,,37.6,
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.653999999999996,59.00899999999999,59.318999999999996,59.595,59.855,60.113,60.373000000000005,60.638999999999996,60.907
Bermuda,BMU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.8,12.5,11.8,10.4,10.0,10.4,10.5,9.4,9.6
Bermuda,BMU,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.2365853658537,79.3884390243903,79.2885365853658,81.1526829268293,81.6778048780488,80.5724390243902,80.7973170731707,81.0121951219512,81.2270731707317
Bhutan,BTN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,21.7,21.135,20.58,20.051,19.57,19.148,18.782,18.46,18.165
Bhutan,BTN,Income share held by highest 10%,SI.DST.10TH.10,,,,,30.7,,,,
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.792,67.315,67.79,68.227,68.639,69.038,69.43,69.817,70.197
Bolivia,BOL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,26.515,25.997,25.502,25.039,24.612,24.223000000000003,23.87,23.549,23.252
Bolivia,BOL,Income share held by highest 10%,SI.DST.10TH.10,38.5,36.9,,33.7,33.7,35.2,36.0,34.8,32.1
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.27199999999999,65.847,66.408,66.945,67.45100000000001,67.922,68.357,68.756,69.125
Bosnia and Herzegovina,BIH,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.229,9.219,9.19,9.149,9.113,9.096,9.097999999999999,9.12,9.158
Bosnia and Herzegovina,BIH,Income share held by highest 10%,SI.DST.10TH.10,,,,25.1,,,,25.1,
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.619,75.758,75.905,76.06,76.223,76.39,76.561,76.735,76.911
Botswana,BWA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.331,25.311,25.285999999999998,25.217,25.079,24.855999999999998,24.541,24.14,23.669
Botswana,BWA,Income share held by highest 10%,SI.DST.10TH.10,,49.6,,,,,,,
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.919,58.45,59.868,61.178999999999995,62.425,63.63,64.78,65.846,66.797
Brazil,BRA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.053,15.749,15.492,15.269,15.06,14.852,14.635,14.405,14.163
Brazil,BRA,Income share held by highest 10%,SI.DST.10TH.10,42.5,42.2,,41.7,41.6,41.7,40.6,40.4,
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.12899999999999,73.488,73.83800000000001,74.17399999999999,74.488,74.777,75.042,75.28399999999999,75.509
British Virgin Islands,VGB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,,,,,,,,,
British Virgin Islands,VGB,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,
Brunei Darussalam,BRN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.641,16.567,16.553,16.557000000000002,16.541,16.475,16.342,16.137999999999998,15.873
Brunei Darussalam,BRN,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.656,76.699,76.719,76.734,76.764,76.82300000000001,76.917,77.046,77.203
Bulgaria,BGR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.4,10.9,10.2,9.6,9.5,9.2,9.4,9.2,9.1
Bulgaria,BGR,Income share held by highest 10%,SI.DST.10TH.10,25.6,25.7,26.9,26.0,27.4,27.5,28.8,,
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.9634146341463,73.4121951219512,73.5121951219512,74.16341463414629,74.31463414634149,74.8609756097561,74.4658536585366,74.6146341463415,74.6146341463415
Burkina Faso,BFA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,43.438,42.89,42.31399999999999,41.721000000000004,41.126999999999995,40.543,39.977,39.436,38.92
Burkina Faso,BFA,Income share held by highest 10%,SI.DST.10TH.10,,32.0,,,,,29.6,,
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.618,56.376000000000005,57.096000000000004,57.762,58.376999999999995,58.942,59.457,59.927,60.361000000000004
Burundi,BDI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,43.549,43.699,43.736000000000004,43.663000000000004,43.506,43.285,43.005,42.662,42.248000000000005
Burundi,BDI,Income share held by highest 10%,SI.DST.10TH.10,,,,,,31.0,,,
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.926,54.386,54.861000000000004,55.338,55.806999999999995,56.25899999999999,56.688,57.093999999999994,57.481
Cabo Verde,CPV,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.896,23.384,22.898000000000003,22.45,22.052,21.706,21.406999999999996,21.144000000000002,20.901
Cabo Verde,CPV,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.881,71.899,71.941,72.01899999999999,72.127,72.259,72.418,72.59899999999999,72.798
Cambodia,KHM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.947,25.767,25.503,25.168000000000003,24.8,24.428,24.055999999999997,23.682,23.296
Cambodia,KHM,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.391,66.01,66.555,67.03399999999999,67.46600000000001,67.868,68.251,68.62,68.98100000000001
